secao
""
"Administração pública, defesa e seguridade social"
"Agricultura, pecuária, produção florestal, pesca e aqüicultura"
Alojamento e alimentação
"Artes, cultura, esporte e recreação"
Atividades administrativas e serviços complementares
"Atividades financeiras, de seguros e serviços relacionados"
Atividades imobiliárias
"Atividades profissionais, científicas e técnicas"
"Comércio, reparação de veículos automotores e motocicletas"
Construção
Educação
Eletricidade e gás
Indústrias de transformação
Indústrias extrativas
Informação e comunicação
Outras atividades de serviços
Saúde humana e serviços sociais
Serviços domésticos
"Transporte, armazenagem e correio"
"Água, esgoto, atividades de gestão de resíduos e descontaminação"
Organismos internacionais e outras instituições extraterritoriais
