porte
Acima de 20 salários mínimos
Até 1 salário mínimo
Indisponível
Mais de 1 a 2 salários mínimos
Mais de 10 a 20 salários mínimos
Mais de 2 a 3 salários mínimos
Mais de 3 a 5 salários mínimos
Mais de 5 a 10 salários mínimos
Sem rendimento
Grande
Micro
Médio
Pequeno
