modalidade
Cartão de crédito
Empréstimo com consignação em folha
Empréstimo sem consignação em folha
Habitacional
Outros créditos
Rural e agroindustrial
Veículos
Capital de giro
Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos
Investimento
Cheque especial e conta garantida
Operações com recebíveis
Comércio exterior
